1,jame,James@1234,Ramsay,Gordna,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,Your User Name must between 5 and 20 characters,
2,jqwertyqwertyqwertyas,James@1234,Ramsay,Gordna,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,Your User Name must between 5 and 20 characters,
3,1234567,James@1234,Ramsay,Gordna,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,Your user name cannot be numeric,
4,jqwertyqwertyqwertya,James@1234,Ramsay,Gordna,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,Given user does not exist in database please provide a username for a pre-existing user,
5,qwert,James@1234,Ramsay,Gordna,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,Given user does not exist in database please provide a username for a pre-existing user,
6,marrijac,James@1234,Ramsay,Gordna,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,Given user does not exist in database please provide a username for a pre-existing user,
7,james,James@1234,Ramsay,ke,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,Your Last Name must be between 3 and 40 characters,,
8,james,James@1234,Ramsay,keqwertyqwertyqwertyqwertyqwertyqwertyabcd,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,Your Last Name must be between 3 and 40 characters,,
9,james,James@1234,Ramsay,kev,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,Your last name must start with a capital letter,,
10,james,James@1234,Ramsay,12341,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,Your last name cannot contain any numeric values,,
11,james,James@1234,Ramsay,Gordna,Admin,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,,Only one Admin in the system
12,james,James@1234,Ramsay,Gordna,Caterer_Manager,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,Please correct the following errors,,,Only one Catering Manager in the system
13,james,James@1234,Ramsay,Gordna,User,1001890891,1234567890,na@gmail.com,10,Avenue,Dallas,TX,56019,searchUser,,,,
